timestamp,file,events,models,input_tokens,output_tokens,total_tokens,estimated_cost_usd
2025-10-13T22:15:05.914248+00:00,Q1 17 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.914610+00:00,Q1 18 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.914976+00:00,Q1 19 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.915184+00:00,Q1 20 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.915340+00:00,Q2 16 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.915750+00:00,Q2 17 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.915914+00:00,Q2 18 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.916259+00:00,Q2 19 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.916682+00:00,Q3 16 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.916934+00:00,Q3 17 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.917520+00:00,Q3 18 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.917871+00:00,Q3 19 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.918342+00:00,amkr-20200630 Q2 20 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.918706+00:00,amkr-20200930 Q3 20 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.919121+00:00,amkr-20201231 annual 20 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.919478+00:00,amkr-20210331 Q1 21 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.919791+00:00,amkr-20210630 Q2 21 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.920133+00:00,amkr-20210930 Q3 21 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.920418+00:00,amkr-20211231 annual 21 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.920709+00:00,amkr-20220331 Q1 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.920981+00:00,amkr-20220630 Q2 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.921146+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.921586+00:00,amkr-20221231 annual 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.921872+00:00,amkr-20230331 Q1 23 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.922217+00:00,amkr-20230630 Q2 23 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.922567+00:00,amkr-20230930 Q3 23 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.922975+00:00,amkr-20231231 annual 23 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.925168+00:00,amkr-20240331 Q1 24 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.925696+00:00,amkr-20240630 Q2 24 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.926025+00:00,amkr-20240930 Q3 24 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.926179+00:00,amkr-20241231 annual 24 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.926322+00:00,amkr-20250331 Q1 25 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.926684+00:00,amkr-20250630 Q2 25 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.927386+00:00,annual 16 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.928097+00:00,annual 17 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.928617+00:00,annual 18 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:15:05.928895+00:00,annual 19 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:04.927315+00:00,amkr-20220930 Q3 22 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.371488+00:00,Q1 16 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.372419+00:00,Q1 17 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.372623+00:00,Q1 18 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.372793+00:00,Q1 19 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.372953+00:00,Q1 20 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.373114+00:00,Q2 16 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.373279+00:00,Q2 17 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.373432+00:00,Q2 18 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.373658+00:00,Q2 19 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.373824+00:00,Q3 16 23.01.04 - FS only (robust).pdf,0,,0,0,0,
2025-10-13T22:42:24.373979+00:00,Q3 17 23.01.04 - FS only (robust).pdf,0,,0,0,0,
